project_gid,name,logged_hours,n_entries,entry_first,entry_last,n_authors,n_tasks,n_completed,task_completed_first,task_completed_last,pct_activity_in_tracked_window,coverage,is_course_dev,evidence
1209298164735103,AI for the Notre Dame Community,448.7,427,2025-02-20,2026-05-27,4,87,79,2025-02-09,2025-11-28,1.0,full,True,100% of completions in tracked window; 427 entries across 10 months (2025-02-20..2026-05-27) = habitual cadence
1208963580488220,Responsible and Ethical AI,278.63,495,2025-01-28,2025-12-26,4,154,151,2025-01-19,2026-01-05,1.0,full,True,100% of completions in tracked window; 495 entries across 12 months (2025-01-28..2025-12-26) = habitual cadence
1209213189516073,ASCEND Engineering,102.92,207,2025-01-28,2026-04-08,3,111,85,2025-01-27,2026-04-17,1.0,full,True,100% of completions in tracked window; 207 entries across 15 months (2025-01-28..2026-04-08) = habitual cadence
1209679644127773,Radio Systems Course,100.75,272,2025-03-14,2025-12-26,2,68,50,2025-03-17,2025-12-26,1.0,full,True,100% of completions in tracked window; 272 entries across 10 months (2025-03-14..2025-12-26) = habitual cadence
1208335647365619,Virtual Borders,75.75,16,2025-01-21,2026-05-20,2,47,19,2024-10-22,2025-02-27,1.0,full,True,100% of completions in tracked window; 16 entries across 3 months (2025-01-21..2026-05-20) = habitual cadence
1208255134984932,The Qur’an and the Bible (Gabriel Reynolds),74.58,116,2024-11-01,2025-06-11,2,44,42,2024-10-14,2025-06-29,1.0,full,True,100% of completions in tracked window; 116 entries across 8 months (2024-11-01..2025-06-11) = habitual cadence
1208335647365608,MSAN II,71.08,39,2025-01-22,2025-08-14,5,40,26,2024-10-25,2025-08-15,1.0,full,True,100% of completions in tracked window; 39 entries across 8 months (2025-01-22..2025-08-14) = habitual cadence
1210202036254627,Sprint 2025: Lab Prep: Visualizing Success,67.08,36,2025-05-12,2025-07-31,3,39,35,2025-05-15,2026-01-02,1.0,partial,True,logging window 80d covers only part of activity span 232d (n_completed=35)
1207817115500015,EIH Lab Video Series,65.0,15,2024-09-11,2024-10-24,1,60,32,2024-07-25,2024-10-25,0.8438,partial,True,84% of completions in tracked window (pre-2024-08-19 activity undercounted)
1208981515547171,Radio Systems MVP,64.16,64,2024-12-17,2025-03-14,3,30,30,2025-02-04,2025-03-14,1.0,full,True,100% of completions in tracked window; 64 entries across 4 months (2024-12-17..2025-03-14) = habitual cadence
1212343204566399,ASCEND MCOB,62.0,42,2025-12-08,2026-05-08,3,50,19,2025-12-08,2026-05-08,1.0,full,True,100% of completions in tracked window; 42 entries across 6 months (2025-12-08..2026-05-08) = habitual cadence
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,49.25,12,2025-04-14,2025-07-27,2,34,12,2025-05-16,2025-07-27,1.0,full,True,100% of completions in tracked window; 12 entries across 4 months (2025-04-14..2025-07-27) = habitual cadence
1207942229848224,National Education Opportunities Network (NEON),46.24,100,2025-01-28,2026-01-23,2,39,32,2024-08-25,2025-12-26,1.0,full,True,100% of completions in tracked window; 100 entries across 10 months (2025-01-28..2026-01-23) = habitual cadence
1211653962736510,Business for Humans | Sheedy Family Program,38.75,30,2025-11-13,2026-05-08,2,32,9,2026-03-20,2026-04-29,1.0,full,True,100% of completions in tracked window; 30 entries across 7 months (2025-11-13..2026-05-08) = habitual cadence
1207967599155608,Online Pedagogy Course,38.17,26,2024-11-21,2025-02-14,2,20,20,2024-08-02,2025-03-10,0.9,partial,True,logging window 85d covers only part of activity span 220d (n_completed=20)
1208878713359040,3D Environments Summer Online,35.17,100,2025-01-27,2025-12-01,2,106,66,2025-01-19,2026-01-02,1.0,full,True,100% of completions in tracked window; 100 entries across 12 months (2025-01-27..2025-12-01) = habitual cadence
1208622917750063,ACE Assessment Course Redesign,33.42,22,2025-01-24,2025-04-17,2,20,20,2025-02-04,2025-04-17,1.0,full,True,100% of completions in tracked window; 22 entries across 4 months (2025-01-24..2025-04-17) = habitual cadence
1207907772727914,ND Elevate Updates,32.33,19,2024-11-18,2025-01-29,2,18,18,2024-09-27,2025-03-10,1.0,full,True,100% of completions in tracked window; 19 entries across 3 months (2024-11-18..2025-01-29) = habitual cadence
1209417479528380,Videos for Eva,29.25,10,2025-02-14,2025-05-14,1,29,9,2025-02-17,2025-05-19,1.0,full,True,100% of completions in tracked window; 10 entries across 4 months (2025-02-14..2025-05-14) = habitual cadence
1207760971753716,FCTA - Physics I,29.17,14,2025-01-27,2025-10-30,5,22,10,2025-08-24,2026-01-07,1.0,full,True,100% of completions in tracked window; 14 entries across 7 months (2025-01-27..2025-10-30) = habitual cadence
1211134268245785,ACE Higher Powered Learning (HPL),26.0,7,2025-10-22,2025-11-20,1,29,18,2025-08-25,2026-01-09,1.0,partial,True,logging window 29d covers only part of activity span 137d (n_completed=18)
1208659811898324,ODL Lookbook,22.28,4,2025-01-29,2025-02-12,1,4,4,2024-11-15,2025-05-15,1.0,minimal,False,"logged_hours=22.28, n_entries=4 (<5h or <5 entries) -> unusable as project total"
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,19.5,6,2025-07-10,2025-08-08,2,27,13,2025-05-19,2025-08-11,1.0,full,True,100% of completions in tracked window; 6 entries across 2 months (2025-07-10..2025-08-08) = habitual cadence
1208255134985064,ODL Podcast,17.58,19,2024-11-18,2026-01-26,2,30,25,2024-09-19,2026-05-04,1.0,full,False,100% of completions in tracked window; 19 entries across 6 months (2024-11-18..2026-01-26) = habitual cadence
1213292120696339,NEON - POS 30022 (Poly Sci),16.75,15,2026-03-06,2026-06-02,2,61,1,2026-03-06,2026-03-06,1.0,full,True,100% of completions in tracked window; 15 entries across 4 months (2026-03-06..2026-06-02) = habitual cadence
1211900372320318,C2D: Cybertraining for Chemical Data scientists,16.5,13,2025-11-12,2026-04-09,1,31,18,2026-03-20,2026-05-14,1.0,full,True,100% of completions in tracked window; 13 entries across 6 months (2025-11-12..2026-04-09) = habitual cadence
1208878713359035,Calc I Summer Online,15.83,61,2025-01-28,2025-06-11,2,85,54,2025-01-19,2025-07-09,1.0,full,True,100% of completions in tracked window; 61 entries across 6 months (2025-01-28..2025-06-11) = habitual cadence
1208255134985069,Travel Safety 101,15.75,17,2024-10-09,2025-03-05,1,13,8,2024-11-05,2025-03-05,1.0,full,True,100% of completions in tracked window; 17 entries across 6 months (2024-10-09..2025-03-05) = habitual cadence
1208875960377620,Program for Inclusive Education (PIE) Video #2,15.5,9,2025-01-27,2025-02-06,3,12,11,2025-01-10,2025-02-06,1.0,full,True,100% of completions in tracked window; 9 entries across 2 months (2025-01-27..2025-02-06) = habitual cadence
